Node Number	X Location (mm)	Y Location (mm)	Z Location (mm)	Temperature (°C)
1	9,	1,1022e-015	65,	74,953
2	7,7942	4,5	65,	74,814
3	4,5	7,7942	65,	74,794
4	-4,5479e-015	9,	65,	74,855
5	-4,5	7,7942	65,	74,768
6	-7,7942	4,5	65,	74,833
7	-9,	-5,2042e-015	65,	74,852
8	-7,7942	-4,5	65,	74,877
9	-4,5	-7,7942	65,	74,852
10	5,4441e-015	-9,	65,	74,808
11	4,5	-7,7942	65,	74,76
12	7,7942	-4,5	65,	74,806
13	9,	1,1022e-015	0,	74,976
14	7,7942	4,5	0,	74,842
15	4,5	7,7942	0,	74,8
16	-4,5479e-015	9,	0,	74,881
17	-4,5	7,7942	0,	74,787
18	-7,7942	4,5	0,	74,866
19	-9,	-5,2042e-015	0,	74,924
20	-7,7942	-4,5	0,	74,906
21	-4,5	-7,7942	0,	74,827
22	5,4441e-015	-9,	0,	74,882
23	4,5	-7,7942	0,	74,813
24	7,7942	-4,5	0,	74,833
25	8,8054	-1,8614	60,233	74,741
26	8,5499	-2,8105	4,85	74,768
27	5,9992	6,7089	60,15	74,923
28	6,7089	5,9992	4,85	74,883
29	-2,8105	8,5499	60,15	74,839
30	-8,8097	1,841	60,15	74,85
31	-8,453	-3,0898	60,017	74,732
32	-5,9116	-6,7863	60,329	74,927
33	-1,4808	-8,8773	59,987	74,742
34	-1,841	8,8097	4,85	74,87
35	-8,5499	2,8105	4,85	74,937
36	-8,8477	-1,6485	5,0073	74,779
37	-6,7087	-5,9995	4,8263	74,869
38	-2,997	-8,4863	5,0055	74,853
39	-6,8508	5,8366	59,979	74,722
40	3,3776	-8,3422	59,494	74,832
41	-5,8366	6,8508	5,0214	74,767
42	1,8413	-8,8096	4,8261	74,778
43	8,4826	3,0074	60,018	74,843
44	8,8513	1,6293	5,0214	74,876
45	1,6293	8,8513	59,979	74,76
46	3,0147	8,4801	5,0214	74,818
47	6,9542	-5,7131	59,881	74,852
48	5,836	-6,8514	5,0195	74,944
49	8,9458	0,98624	55,636	74,814
50	8,4987	-2,9617	55,177	74,773
51	7,1785	-5,4286	9,8619	74,757
52	8,9094	-1,2738	9,6015	74,918
53	3,5025	8,2905	55,138	74,843
54	7,1231	5,501	55,642	74,763
55	8,2204	3,6641	9,7874	74,857
56	5,2773	7,2904	9,9057	74,749
57	-5,3033	7,2715	55,3	74,817
58	-1,3855	8,8927	55,475	74,715
59	-8,9308	-1,1136	55,082	74,776
60	-8,357	3,3407	55,427	74,773
61	-6,6622	-6,0511	55,511	74,847
62	-3,2828	-8,3799	56,351	74,719
63	1,56	-8,8638	53,874	74,761
64	0,93577	8,9512	9,7858	74,867
65	-3,6751	8,2155	9,9056	74,908
66	-7,2841	5,286	9,7858	74,884
67	-8,9528	0,92099	9,9022	74,842
68	-8,2184	-3,6685	9,7803	74,742
69	-5,2374	-7,3191	9,7923	74,865
70	-0,90003	-8,9549	9,6962	74,771
71	6,0855	-6,6308	54,38	74,873
72	3,2524	-8,3918	9,5205	74,879
73	8,3596	3,3343	51,623	74,83
74	8,9994	-0,10411	50,525	74,809
75	8,0733	-3,9778	49,757	74,714
76	4,8008	-7,6127	14,121	74,8
77	8,1866	-3,739	14,537	74,851
78	8,9358	1,073	14,991	74,733
79	0,46436	8,988	50,453	74,775
80	5,9166	6,7819	49,706	74,817
81	7,1447	5,473	14,988	74,887
82	3,5402	8,2745	15,001	74,764
83	-7,3103	5,2497	50,804	74,767
84	-3,849	8,1354	50,865	74,753
85	-7,8493	-4,4033	50,914	74,827
86	-8,9423	1,0177	49,668	74,793
87	-3,3999	-8,3331	50,882	74,772
88	5,3062	-7,2694	48,481	74,78
89	-1,1671	8,924	14,989	74,89
90	-5,3958	7,2032	15,001	74,744
91	-8,312	3,4512	14,989	74,785
92	-8,9359	-1,0718	15,001	74,836
93	-7,1445	-5,4733	14,988	74,795
94	-3,3302	-8,3612	14,457	74,818
95	0,96969	-8,9476	13,26	74,785
96	1,3566	-8,8972	47,164	74,82
97	8,2343	3,6327	45,623	74,75
98	8,9748	-0,67246	45,163	74,826
99	7,7666	-4,5475	44,209	74,724
100	1,2055	-8,9189	18,267	74,829
101	6,3975	-6,3302	18,476	74,782
102	8,8363	-1,7089	19,523	74,771
103	8,4638	3,0602	19,778	74,769
104	-3,2337	8,399	45,583	74,746
105	1,9617	8,7836	46,068	74,808
106	5,6168	7,0322	20,085	74,823
107	1,5391	8,8674	19,876	74,71
108	-7,74	4,5926	45,053	74,809
109	-6,2511	-6,4749	46,917	74,805
110	-2,8705	-8,53	44,28	74,777
111	5,2333	-7,3221	42,872	74,794
112	-3,2813	8,3805	20,086	74,812
113	-6,9107	5,7656	19,887	74,788
114	-8,8984	1,3485	20,086	74,784
115	-8,4343	-3,1404	20,005	74,85
116	-5,196	-7,3486	20,503	74,767
