Node Number	X Location (mm)	Y Location (mm)	Z Location (mm)	
1	9.	1.1022e-015	65.	
2	8.3923	3.2512	65.	
3	6.6511	6.0633	65.	
4	4.0116	8.0565	65.	
5	0.83042	8.9616	65.	
6	-2.463	8.6564	65.	
7	-5.4237	7.1822	65.	
8	-7.652	4.7379	65.	
9	-8.8468	1.6537	65.	
10	-8.8468	-1.6537	65.	
11	-7.652	-4.7379	65.	
12	-5.4237	-7.1822	65.	
13	-2.463	-8.6564	65.	
14	0.83042	-8.9616	65.	
15	4.0116	-8.0565	65.	
16	6.6511	-6.0633	65.	
17	8.3923	-3.2512	65.	
18	9.	1.1022e-015	0.	
19	8.3923	3.2512	0.	
20	6.6511	6.0633	0.	
21	4.0116	8.0565	0.	
22	0.83042	8.9616	0.	
23	-2.463	8.6564	0.	
24	-5.4237	7.1822	0.	
25	-7.652	4.7379	0.	
26	-8.8468	1.6537	0.	
27	-8.8468	-1.6537	0.	
28	-7.652	-4.7379	0.	
29	-5.4237	-7.1822	0.	
30	-2.463	-8.6564	0.	
31	0.83042	-8.9616	0.	
32	4.0116	-8.0565	0.	
33	6.6511	-6.0633	0.	
34	8.3923	-3.2512	0.	
35	8.8468	-1.6537	62.295	
36	8.8468	-1.6537	2.7049	
37	7.815	4.4639	62.419	
38	5.6747	-6.9856	62.419	
39	7.815	4.4639	2.5814	
40	5.6747	-6.9856	2.5814	
41	-0.83042	8.9616	61.899	
42	-0.83042	8.9616	3.1008	
43	-7.2257	5.3655	62.452	
44	-6.7158	-5.9916	62.424	
45	-7.2001	5.3999	2.8953	
46	-6.7158	-5.9916	2.5763	
47	-9.	-1.632e-002	62.452	
48	-9.	-1.7842e-002	2.5532	
49	-5.3523	7.2355	60.76	
50	-3.9229	-8.1	61.091	
51	-4.4232	7.8381	3.8295	
52	-3.9229	-8.1	3.9086	
53	1.9935	8.7764	61.129	
54	2.3677	-8.683	61.091	
55	2.4179	8.6691	3.6408	
56	2.3677	-8.683	3.9086	
57	5.6245	7.026	60.773	
58	6.0628	6.6515	3.8634	
59	8.8468	1.6537	60.409	
60	7.652	-4.7379	60.409	
61	7.652	-4.7379	4.5907	
62	8.8468	1.6537	4.5907	
63	-1.7518	8.8279	59.318	
64	-8.506	2.9406	60.512	
65	-8.3923	-3.2512	60.409	
66	-1.528	8.8693	6.1369	
67	-5.9964	6.7114	6.0545	
68	-8.542	2.8343	4.8031	
69	-8.3923	-3.2512	4.5907	
70	-4.9652	7.5065	58.061	
71	-7.5808	4.8509	58.486	
72	-6.5027	-6.2221	59.239	
73	-6.5027	-6.2221	5.7606	
74	1.7298	8.8322	58.419	
75	5.2487	-7.311	59.239	
76	3.6501	8.2266	6.3173	
77	5.2487	-7.311	5.7606	
78	-0.83042	-8.9616	59.551	
79	-0.83042	-8.9616	5.4486	
80	7.9323	4.2519	58.655	
81	7.6981	4.6625	5.9626	
82	8.8468	-1.6537	58.919	
83	8.8468	-1.6537	6.0805	
84	-2.8641	8.5321	56.561	
85	-9.	-3.4882e-015	58.919	
86	-4.1511	7.9855	8.7141	
87	-7.8644	4.3762	7.7072	
88	-8.9735	-0.69024	6.5412	
89	4.7756	7.6285	57.302	
90	0.75523	8.9683	8.8882	
91	-6.5996	6.1193	56.067	
92	-8.7052	2.2847	56.787	
93	-3.8402	-8.1396	57.846	
94	-8.3226	-3.4255	57.543	
95	-8.1747	-3.7649	7.772	
96	-3.8402	-8.1396	7.1537	
97	0.38628	8.9917	55.118	
98	7.5515	-4.8964	57.543	
99	2.2791	-8.7066	57.846	
100	6.0263	6.6846	8.4146	
101	2.2791	-8.7066	7.1537	
102	7.5515	-4.8964	7.4568	
103	7.135	5.4856	55.795	
104	8.8872	1.4202	57.252	
105	8.8104	1.8379	7.4568	
106	-4.8297	7.5943	54.065	
107	-1.6911	8.8397	11.115	
108	-6.6382	6.0774	10.559	
109	-8.942	1.0202	9.441	
110	3.6894	8.2091	54.183	
111	3.7372	8.1874	10.656	
112	-8.197	3.716	54.16	
113	-8.9502	-0.94528	55.323	
114	-0.83042	-8.9616	56.141	
115	-6.4707	-6.2554	56.204	
116	-8.7099	-2.2667	10.75	
117	-6.2658	-6.4606	9.1434	
118	-0.83042	-8.9616	8.859	
119	-1.7506	8.8281	52.511	
120	8.8468	-1.6537	55.973	
121	5.2111	-7.3379	56.204	
122	7.9812	4.1595	9.9819	
123	5.2111	-7.3379	8.7957	
124	8.8468	-1.6537	9.0265	
125	6.2619	6.4644	52.64	
126	8.5817	2.7119	54.149	
127	-7.0276	5.6225	51.695	
128	1.4656	8.8799	13.263	
129	-4.6456	7.7084	12.976	
130	-8.3592	3.3353	12.037	
131	1.7362	8.8309	51.73	
132	6.3617	6.3662	12.224	
133	-8.9898	0.42937	52.365	
134	-8.0113	-4.1012	53.973	
135	2.3526	-8.6871	54.571	
136	-3.9088	-8.1069	54.571	
137	-8.9996	8.9222e-002	13.357	
138	-7.3085	-5.2522	12.056	
139	-3.5889	-8.2535	10.754	
140	2.3526	-8.6871	10.429	
141	-4.4618	7.8161	50.183	
142	8.9872	-0.47972	52.666	
143	7.37	-5.1656	54.215	
144	8.943	1.0114	11.347	
145	7.5509	-4.8974	10.457	
146	4.5753	7.7503	49.893	
147	8.1024	3.918	51.015	
148	-8.6084	2.6261	49.833	
149	4.4739	7.8092	14.83	
150	-1.7728	8.8237	14.746	
151	-7.0732	5.5651	14.456	
152	-0.16332	8.9985	49.385	
153	8.2256	3.6524	13.589	
154	-8.549	-2.8134	50.965	
155	-6.0711	-6.6439	52.375	
156	4.8414	-7.5869	52.472	
157	-0.83042	-8.9616	53.001	
158	-8.6066	2.6317	15.777	
159	-8.4232	-3.1702	14.674	
160	-5.0538	-7.4471	13.684	
161	-0.49197	-8.9865	12.312	
162	5.2963	-7.2766	11.917	
163	-6.9992	5.6579	48.258	
164	-3.1444	8.4329	47.302	
165	8.9626	0.82004	49.527	
166	8.2173	-3.671	51.319	
167	8.6958	-2.32	12.598	
168	1.9787	8.7798	47.718	
169	6.9618	5.7038	48.234	
170	-8.9528	-0.92067	48.198	
171	6.9818	5.6793	16.193	
172	1.4213	8.8871	16.316	
173	-4.7822	7.6243	16.227	
174	8.9911	0.40104	14.84	
175	-7.0552	-5.5879	49.412	
176	-3.2481	-8.3935	50.507	
177	6.2387	-6.4868	49.6	
178	1.9515	-8.7859	50.818	
179	-7.216	5.3786	17.551	
180	-8.9758	-0.65903	17.095	
181	-6.811	-5.883	16.31	
182	-2.148	-8.7399	15.248	
183	2.6355	-8.6055	13.867	
184	7.299	-5.2654	14.036	
185	-8.6233	2.5765	46.656	
186	-5.7658	6.9105	45.434	
187	-0.36359	8.9927	45.09	
188	8.527	2.8793	46.738	
189	8.6685	-2.42	48.13	
190	4.8786	7.563	46.057	
191	-8.0867	-3.9503	46.554	
192	8.5715	2.7439	17.441	
193	4.5234	7.7806	17.725	
194	-1.8175	8.8146	17.797	
195	8.5443	-2.8275	16.277	
196	-4.6709	-7.693	47.863	
197	-0.85753	-8.9591	48.869	
198	7.2555	-5.3252	46.682	
199	3.239	-8.3969	47.566	
200	-4.8833	7.56	19.14	
201	-8.6732	2.4033	18.871	
202	-8.1963	-3.7176	18.733	
203	-4.331	-7.8894	17.882	
204	1.4066	-8.8894	17.104	
205	4.988	-7.4913	15.578	
206	-8.9718	-0.71239	45.104	
207	-7.8287	4.4398	43.882	
208	-3.3497	8.3534	43.275	
209	2.7511	8.5692	43.431	
210	7.2351	5.3528	44.56	
211	8.992	-0.37984	45.378	
212	-6.204	-6.52	44.974	
213	8.9868	-0.48675	18.877	
214	7.0586	5.5836	19.064	
215	1.4658	8.8798	19.233	
216	7.0096	-5.645	17.819	
217	-1.6232	-8.8524	46.294	
218	8.2715	-3.5471	43.922	
219	5.7462	-6.9268	44.999	
220	-1.8541	8.8069	20.673	
221	-7.2909	5.2766	20.472	
222	-8.9695	-0.73989	20.511	
223	-6.3838	-6.3441	20.306	
224	-1.7547	-8.8273	19.523	
225	-8.0377	-4.0491	43.295	
226	-8.8918	1.3911	42.37	
227	-6.0908	6.6259	41.795	
228	-0.27101	8.9959	41.614	
229	5.5985	7.0468	41.936	
230	8.6766	2.391	43.198	
231	-3.4927	-8.2946	43.504	
232	1.9888	-8.7775	44.224	
233	8.2458	-3.6065	20.417	
234	8.5916	2.6804	20.453	
235	4.6056	7.7323	20.636	
236	1.288	-8.9074	21.068	
237	4.994	-7.4873	19.579	
238	8.9601	-0.84644	41.74	
239	6.6359	-6.0799	42.626	
240	1.4858	8.8765	22.155	
241	-4.9426	7.5213	22.058	
242	-8.666	2.429	22.103	
243	-8.147	-3.8244	22.086	
244	-4.0837	-8.0202	21.993	
245	-6.1071	-6.6108	41.721	
246	-8.8119	-1.8305	40.854	
247	-8.036	4.0524	40.286	
248	-3.4392	8.317	40.134	
249	2.9236	8.5119	40.116	
250	7.7579	4.5624	40.577	
251	-1.1058	-8.9318	41.739	
252	3.6603	-8.222	41.598	
253	6.3056	-6.4218	22.05	
254	8.9859	-0.5036	21.997	
255	7.0933	5.5395	22.019	
256	-1.7063	-8.8368	23.323	
257	8.8721	1.5119	39.12	
258	8.0956	-3.932	40.19	
259	4.6313	7.7169	23.582	
260	-1.8798	8.8015	23.611	
261	-7.2581	5.3216	23.629	
262	-8.9688	-0.7489	23.677	
263	-6.5345	-6.1888	24.175	
264	2.1076	-8.7498	24.427	
265	-3.6353	-8.2331	39.617	
266	-7.4682	-5.0226	39.109	
267	-8.9477	0.96863	38.757	
268	-6.1512	6.5699	38.625	
269	-0.28011	8.9956	38.635	
270	5.7908	6.8896	38.752	
271	0.42696	-8.9899	39.715	
272	6.8015	-5.8941	38.877	
273	8.2486	-3.6	23.494	
274	8.5903	2.6844	23.532	
275	-3.6543	-8.2247	25.156	
276	5.9401	-6.7613	24.79	
277	3.8203	-8.1489	38.389	
278	7.8601	4.3839	37.292	
279	8.8398	-1.6903	37.572	
280	7.081	5.5551	25.024	
281	1.4859	8.8765	25.109	
282	-4.8854	7.5586	25.088	
283	-8.6592	2.4532	25.204	
284	-8.2801	-3.527	25.766	
285	-0.46068	-8.9882	26.543	
286	4.0111	-8.0567	27.299	
287	-1.3054	-8.9048	37.521	
288	-5.5512	-7.0841	37.321	
289	-8.7127	-2.256	37.263	
290	-8.0682	3.988	37.096	
291	-3.4344	8.3189	37.126	
292	2.9769	8.4934	37.221	
293	7.3617	-5.1774	36.005	
294	7.6327	-4.7689	26.553	
295	8.9906	-0.41052	25.274	
296	-6.3066	-6.4208	26.972	
297	2.2496	-8.7143	35.574	
298	5.8084	6.8748	35.785	
299	8.8978	1.3522	35.741	
300	8.4691	3.0455	27.213	
301	4.6121	7.7284	26.557	
302	-1.828	8.8124	26.589	
303	-7.2199	5.3733	26.652	
304	-8.9915	-0.38995	27.292	
305	-3.8493	-8.1353	28.701	
306	0.96796	-8.9478	30.227	
307	6.1509	-6.5701	30.284	
308	-3.0494	-8.4677	33.429	
309	-7.4845	-4.9982	35.273	
310	-8.9651	0.79128	35.164	
311	-6.1398	6.5805	35.597	
312	-0.22152	8.9973	35.704	
313	8.952	-0.92828	33.382	
314	4.7749	-7.6289	33.247	
315	8.7184	-2.2335	29.085	
316	-8.1896	-3.7324	28.644	
317	3.1108	8.4453	33.866	
318	7.8489	4.404	34.234	
319	7.597	-4.8256	32.517	
320	8.9254	1.1563	30.109	
321	6.8954	5.7839	29.079	
322	1.3804	8.8935	28.526	
323	-4.8035	7.6109	28.55	
324	-8.5089	2.9324	29.165	
325	-6.4977	-6.2274	30.393	
326	-7.7622	4.5551	33.095	
327	-3.1821	8.4187	33.727	
328	8.4874	2.9939	31.989	
329	-8.9717	-0.71357	31.434	
330	0.64241	8.977	31.511	
331	6.4504	6.2763	31.956	
332	4.0004	8.0621	30.883	
333	-2.1729	8.7338	30.627	
334	-5.3396	7.2449	31.579	
335	4.0116	0.	0.	
336	-3.373	-0.88658	0.	
337	-0.79357	4.0674	0.	
338	0.79704	-4.4417	0.	
339	4.0116	0.	65.	
340	-3.373	-0.88658	65.	
