Node Number	X Location (mm)	Y Location (mm)	Z Location (mm)	Temperature (°C)
1	-7,5	30,	0,	10,
2	-10,5	30,	0,	10,
3	-10,5	30,	10,	10,
4	-10,5	30,	5,	10,
5	-7,5	30,	10,	10,
6	-7,5	30,	5,	10,
7	-10,5	0,	0,	10,001
8	-10,5	25,	0,	10,
9	-10,5	20,	0,	10,
10	-10,5	15,	0,	10,
11	-10,5	10,	0,	10,
12	-10,5	5,	0,	10,
13	-10,5	0,	10,	10,001
14	-10,5	0,	5,	10,009
15	-10,5	25,	10,	10,
16	-10,5	20,	10,	10,
17	-10,5	15,	10,	10,
18	-10,5	10,	10,	10,
19	-10,5	5,	10,	10,
20	0,	0,	0,	10,004
21	-7,	0,	0,	10,004
22	-3,5	0,	0,	10,005
23	0,	0,	10,	10,003
24	0,	0,	5,	12,603
25	-7,	0,	10,	10,005
26	-3,5	0,	10,	10,005
27	0,	5,	0,	10,001
28	0,	5,	10,	10,001
29	0,	5,	5,	10,001
30	-1,5	5,	0,	10,
31	-1,5	5,	10,	10,
32	-1,5	5,	5,	10,
33	-1,5	30,	0,	10,
34	-1,5	10,	0,	10,
35	-1,5	15,	0,	10,
36	-1,5	20,	0,	10,
37	-1,5	25,	0,	10,
38	-1,5	30,	10,	10,
39	-1,5	30,	5,	10,
40	-1,5	10,	10,	10,
41	-1,5	15,	10,	10,
42	-1,5	20,	10,	10,
43	-1,5	25,	10,	10,
44	-4,5	30,	0,	10,
45	-4,5	30,	10,	10,
46	-4,5	30,	5,	10,
47	-4,5	5,	0,	10,
48	-4,5	25,	0,	10,
49	-4,5	20,	0,	10,
50	-4,5	15,	0,	10,
51	-4,5	10,	0,	10,
52	-4,5	5,	10,	10,
53	-4,5	5,	5,	10,001
54	-4,5	25,	10,	10,
55	-4,5	20,	10,	10,
56	-4,5	15,	10,	10,
57	-4,5	10,	10,	10,
58	-7,5	5,	0,	10,
59	-7,5	5,	10,	10,
60	-7,5	5,	5,	10,001
61	-7,5	10,	0,	10,
62	-7,5	15,	0,	10,
63	-7,5	20,	0,	10,
64	-7,5	25,	0,	10,
65	-7,5	10,	10,	10,
66	-7,5	15,	10,	10,
67	-7,5	20,	10,	10,
68	-7,5	25,	10,	10,
69	-7,5	22,5	5,	10,
70	-7,5	12,5	5,	10,
71	-7,5	17,5	5,	10,
72	-7,5	8,75	5,	10,
73	-7,5	26,25	5,	10,
74	-4,5	12,5	5,	10,
75	-4,5	22,5	5,	10,
76	-4,5	17,5	5,	10,
77	-4,5	26,25	5,	10,
78	-4,5	8,75	5,	10,
79	-1,5	22,5	5,	10,
80	-1,5	12,5	5,	10,
81	-1,5	17,5	5,	10,
82	-1,5	8,75	5,	10,
83	-1,5	26,25	5,	10,
84	0,	2,5	2,5	10,866
85	0,	2,5	7,5	10,78
86	-5,25	0,	5,	12,202
87	-10,5	22,5	5,	10,
88	-10,5	12,5	5,	10,
89	-10,5	17,5	5,	10,
90	-10,5	5,	5,	10,
91	-10,5	8,75	5,	10,
92	-10,5	26,25	5,	10,
93	-10,5	2,5	2,5	10,
94	-10,5	2,5	7,5	10,
95	-5,25	2,8182	2,8182	10,54
96	-6,	2,2872	7,7128	10,503
97	-3,	22,5	8,3333	10,
98	-3,	22,5	1,6667	10,
