Node Number	X Location (mm)	Y Location (mm)	Z Location (mm)	
1	-10,	10,	10,	
2	-10,	10,	-10,	
3	-10,	-10,	-10,	
4	-10,	-10,	10,	
5	10,	-10,	-10,	
6	10,	-10,	10,	
7	10,	10,	-10,	
8	10,	10,	10,	
9	1,7347e-015	-1,7347e-015	-10,	
10	-10,	-1,7347e-015	-10,	
11	1,7347e-015	-10,	-10,	
12	10,	0,	-10,	
13	0,	10,	-10,	
14	1,7347e-015	-1,7347e-015	10,	
15	-10,	-1,7347e-015	10,	
16	1,7347e-015	-10,	10,	
17	10,	0,	10,	
18	0,	10,	10,	
19	0,	10,	0,	
20	-10,	10,	0,	
21	10,	10,	0,	
22	10,	0,	0,	
23	10,	-10,	0,	
24	5,2042e-015	-10,	0,	
25	-10,	-10,	0,	
26	-10,	-5,2042e-015	0,	
27	2,3491e-015	-2,2656e-015	-2,0793e-016	
